eye,30
retina,27
liver,27
heart,24
brain,22
somite,19
pigment cell,17
neural crest,16
gill,15
integument,13
kidney,13
retinal pigmented epithelium,12
testis,12
myotome,12
musculature system,12
yolk syncytial layer,12
muscle,11
intestine,10
optic vesicle,10
gut,10
pancreas,10
epidermis,9
pronephric duct,9
immature eye,9
ovary,9
notochord,9
hindbrain,9
pectoral fin,9
otic vesicle,8
optic tectum,8
midbrain,8
trunk,7
periderm,7
pharynx,7
fin,7
pectoral fin musculature,7
epiphysis,7
spinal cord,7
pharyngeal arch 3-7 skeleton,7
exocrine pancreas,7
melanocyte,6
peripheral olfactory organ,6
EVL,6
lens,6
heart tube,6
neuron,6
diencephalon,6
adaxial cell,6
retinal cone cell,6
trunk musculature,6
presumptive retinal pigmented epithelium,5
skeletal muscle,5
head,5
lateral line system,5
tail bud,5
pronephros,5
cerebellum,5
neural plate,5
neural tube,5
ventral region,5
fast muscle cell,5
post-vent region,4
melanoblast,4
spleen,4
neural crest cell,4
intestinal bulb,4
olfactory placode,4
retinal inner nuclear layer,4
female organism,4
hatching gland,4
central nervous system,4
telencephalon,4
hypaxial myotome region,4
retinal outer nuclear layer,4
mesoderm,4
midbrain hindbrain boundary,4
blood,4
pancreatic bud,4
alar plate midbrain region,4
segmental plate,4
primitive heart tube,4
heart rudiment,4
ventromedial thalamic nucleus,4
periventricular grey zone,4
cephalic musculature,4
retinal photoreceptor layer,4
otic placode,3
chondrocranium,3
male organism,3
ventricular zone,3
solid lens vesicle,3
intermediate cell mass of mesoderm,3
mucus secreting cell,3
paraxial mesoderm,3
habenula,3
corpus cerebelli,3
ventral habenular nucleus,3
vein,3
blastomere,3
nervous system,3
forebrain,3
ectoderm,3
valvula cerebelli,3
photoreceptor cell,3
skeletal muscle cell,3
gonad,2
cell,2
ciliary marginal zone,2
xanthophore,2
cranial neural crest,2
optic cup,2
retinal neural layer,2
epidermal cell,2
floor plate,2
pharyngeal arch,2
common cardinal vein,2
presumptive segmental plate,2
lateral nucleus of ventral telencephalon,2
medial zone of dorsal telencephalon,2
corpus mamillare,2
medial caudal lobe,2
ventral nucleus of ventral telencephalon,2
dorsal periventricular hypothalamus,2
